[-22.1156253815, 40.9372787476]
[-21.6671217140, 41.2892853272]
[-21.8367000652, 41.4233818141]
[-21.9276268983, 41.4963783294]
[-21.9447318198, 41.3703210363]
[-21.8994604898, 41.3924789404]
[-21.8803933050, 41.3720594556]
[-21.9126438337, 41.4352531751]
[-21.9411451743, 41.4910272235]
[-21.8394313728, 41.4947822710]
[-21.6721286994, 41.5337635339]
[-21.5270555949, 41.5667133763]
[-21.5176930742, 41.5984889773]
[-21.5770637377, 41.5505438628]
[-21.6767235161, 41.5851078154]
[-21.7636286380, 41.6140841410]
[-21.8297518860, 41.6020604111]
[-21.7508833027, 41.5509886140]
[-21.6251021527, 41.4704629848]
[-21.6944388690, 41.5396570502]
[-21.7552547408, 41.5997011326]
[-21.7308921685, 41.5229469549]
[-21.7552172521, 41.5491422649]
[-21.8056293173, 41.5129583342]
[-21.7284338546, 41.5055248251]
[-21.6600094461, 41.4989082406]
[-21.7858309253, 41.5001479522]
[-21.7966005209, 41.4973061111]
[-21.8131450265, 41.5225430187]
[-21.8279448923, 41.5452155586]
[-21.7756840627, 41.5362050725]
[-21.7930156215, 41.5569306462]
[-21.7316834732, 41.4940696345]
[-21.6758655150, 41.4367050301]
[-21.7256914643, 41.4139628764]
[-21.6966788995, 41.3905546741]
[-21.7326162029, 41.3973162937]
[-21.6420371585, 41.3485248009]
[-21.6082833326, 41.3563731983]
[-21.6267106013, 41.3407889927]
[-21.6442216120, 41.3268923886]
[-21.7102465925, 41.3667011427]
[-21.6734222586, 41.3749942295]
[-21.5786067511, 41.3556354603]
[-21.4730933623, 41.3373289035]
[-21.4855654575, 41.3249463433]
[-21.5288418207, 41.3650173432]
[-21.5513951432, 41.4017322463]
[-21.5911365728, 41.4365744506]
[-21.5187458323, 41.4645998939]
[-21.5309673485, 41.4435618031]
[-21.5855157513, 41.4504294510]
[-21.6364298366, 41.4566723883]
[-21.6105910053, 41.3851952084]
[-21.6535322387, 41.3709558823]
[-21.6757317771, 41.4322450719]
[-21.7565562299, 41.4413535184]
[-21.8073676188, 41.4989002290]
[-21.7864996645, 41.4993282561]
[-21.8029898022, 41.5008029837]
[-21.6963798869, 41.4475592732]
[-21.7304901408, 41.4279200745]
[-21.7255813199, 41.4083147142]
[-21.7935628220, 41.3930152614]
[-21.7897289087, 41.4013052939]
